n,machine_id,round,workload
1000,0,1,2
1000,0,2,1
1000,0,3,1
1000,0,4,3
1000,0,5,2
1000,0,6,0
1000,0,7,0
1000,0,8,0
1000,0,9,0
1000,0,10,0
1000,0,11,0
1000,1,1,2
1000,1,2,1
1000,1,3,1
1000,1,4,0
1000,1,5,2
1000,1,6,1
1000,1,7,0
1000,1,8,0
1000,1,9,0
1000,1,10,0
1000,1,11,0
1000,2,1,1
1000,2,2,2
1000,2,3,2
1000,2,4,2
1000,2,5,1
1000,2,6,1
1000,2,7,0
1000,2,8,1
1000,2,9,0
1000,2,10,0
1000,2,11,0
1000,3,1,1
1000,3,2,0
1000,3,3,0
1000,3,4,2
1000,3,5,0
1000,3,6,0
1000,3,7,0
1000,3,8,0
1000,3,9,0
1000,3,10,0
1000,3,11,0
1000,4,1,0
1000,4,2,0
1000,4,3,1
1000,4,4,0
1000,4,5,0
1000,4,6,0
1000,4,7,1
1000,4,8,1
1000,4,9,1
1000,4,10,0
1000,4,11,1
1000,5,1,1
1000,5,2,0
1000,5,3,2
1000,5,4,0
1000,5,5,1
1000,5,6,0
1000,5,7,0
1000,5,8,1
1000,5,9,0
1000,5,10,0
1000,5,11,0
1000,6,1,1
1000,6,2,0
1000,6,3,0
1000,6,4,3
1000,6,5,1
1000,6,6,2
1000,6,7,0
1000,6,8,1
1000,6,9,0
1000,6,10,1
1000,6,11,0
1000,7,1,1
1000,7,2,0
1000,7,3,2
1000,7,4,0
1000,7,5,2
1000,7,6,1
1000,7,7,2
1000,7,8,0
1000,7,9,0
1000,7,10,0
1000,7,11,0
1000,8,1,1
1000,8,2,0
1000,8,3,1
1000,8,4,0
1000,8,5,1
1000,8,6,2
1000,8,7,0
1000,8,8,0
1000,8,9,0
1000,8,10,0
1000,8,11,0
1000,9,1,1
1000,9,2,2
1000,9,3,1
1000,9,4,0
1000,9,5,0
1000,9,6,1
1000,9,7,0
1000,9,8,0
1000,9,9,0
1000,9,10,0
1000,9,11,0
5000,0,1,5
5000,0,2,2
5000,0,3,4
5000,0,4,6
5000,0,5,3
5000,0,6,3
5000,0,7,3
5000,0,8,1
5000,0,9,2
5000,0,10,2
